Month,Day,Time,Miss,Slot,SlotM,Spin,SpinM,Winners,Payout
Mar,1,00:48,True,5,4,7,5,2423,62278
Mar,1,00:50,True,8,3,7,5,2362,53829
Mar,1,00:51,True,5,2,1,1,905,2592
Mar,1,00:52,False,1,3,1,3,881,4807
Mar,1,00:53,True,2,10,1,1,891,2260
Mar,1,00:54,True,8,4,1,1,833,1921
Mar,1,00:55,True,8,3,2,2,1157,8091
Mar,1,00:56,True,7,7,5,5,1396,14697
Mar,1,00:56,True,4,4,1,1,774,2210
Mar,1,00:57,True,8,3,5,5,1223,8977
Mar,1,00:58,True,1,2,7,5,2305,62761
Mar,1,01:00,True,4,5,1,1,732,3476
Mar,1,01:00,True,2,25,1,1,744,2762
Mar,1,01:01,True,5,0,1,1,757,2917
Mar,1,01:02,True,8,4,1,1,709,2282
Mar,1,01:03,True,4,0,2,2,981,6873
Mar,1,01:04,True,7,0,2,2,882,5572
Mar,1,01:04,False,6,2,6,20,1245,54082
Mar,1,01:05,True,6,2,2,2,879,7025
Mar,1,01:06,True,4,0,5,5,1165,10307
Mar,1,01:07,True,2,2,1,1,684,3590
Mar,1,01:08,True,1,0,6,10,1235,15245
Mar,1,01:09,True,2,2,5,5,1141,10311
Mar,1,01:09,True,3,5,2,2,996,8063
Mar,1,01:10,True,4,2,1,1,663,1662
Mar,1,01:11,False,3,7,3,14,1852,39600
Mar,1,01:12,True,8,3,5,5,1146,7271
Mar,1,01:13,True,3,0,5,5,1151,15131
Mar,1,01:14,False,1,10,1,10,698,12834
Mar,1,01:14,True,5,5,4,7,2193,23846
Mar,1,01:16,True,6,5,2,2,1051,8439
Mar,1,01:17,True,1,0,6,10,1477,21661
Mar,1,01:18,True,7,0,2,2,1043,7456
Mar,1,01:18,True,7,4,5,5,1308,9628
Mar,1,01:19,True,8,0,3,2,1959,7208
Mar,1,01:20,True,4,5,3,2,1737,6846
Mar,1,01:22,True,8,3,2,2,927,5606
Mar,1,01:22,True,6,2,1,1,670,3286
Mar,1,01:23,True,3,0,7,5,1819,39972
Mar,1,01:25,True,3,2,1,1,591,1719
Mar,1,01:25,True,4,3,2,2,846,6118
Mar,1,01:26,True,7,0,1,1,582,1885
Mar,1,01:27,True,1,2,2,2,757,4572
Mar,1,01:28,True,8,4,6,10,1090,26972
Mar,1,01:29,False,5,0,5,5,979,11309
Mar,1,01:29,True,4,0,1,1,521,2757
Mar,1,01:30,True,1,0,2,2,739,5341
Mar,1,01:31,True,5,2,8,10,1712,66683
Mar,1,01:34,True,8,4,1,1,497,1406
Mar,1,01:34,True,8,2,1,1,513,1544
Mar,1,01:35,False,5,3,5,15,894,25099
Mar,1,01:36,True,4,3,5,5,895,8848
Mar,1,01:37,True,5,2,1,1,531,1962
Mar,1,01:37,True,8,3,1,1,511,1907
Mar,1,01:38,True,8,0,1,1,482,1566
Mar,1,01:39,True,1,2,3,9,1299,18122
Mar,1,01:40,True,4,0,1,1,465,1007
Mar,1,01:41,True,4,0,7,5,1463,46756
Mar,1,01:42,True,3,3,2,2,685,5813
Mar,1,01:43,True,1,0,4,7,1521,18725
Mar,1,01:45,True,1,2,7,5,1483,43545
Mar,1,01:46,True,4,3,2,2,711,9186
Mar,1,01:47,True,1,3,3,20,1410,58325
Mar,1,01:48,True,7,0,1,1,584,2308
Mar,1,01:49,True,6,3,3,25,1431,50471
Mar,1,01:50,True,2,3,3,2,1472,6468
Mar,1,01:52,True,5,5,1,1,549,2007
Mar,1,01:52,True,1,4,7,5,1686,50489
Mar,1,01:54,True,6,4,5,5,1018,14951
Mar,1,01:55,True,4,4,5,5,1028,18948
Mar,1,01:56,True,4,2,1,1,570,1992
Mar,1,01:56,True,5,4,2,2,780,6943
Mar,1,01:57,False,1,3,1,3,532,5081
Mar,1,01:58,True,3,2,1,1,502,1657
Mar,1,01:59,True,2,2,6,10,1050,26586
Mar,1,01:59,False,1,0,1,1,482,1283
Mar,1,02:00,True,4,4,1,1,479,1247
Mar,1,02:01,True,4,5,2,2,617,3542
Mar,1,02:02,True,6,2,1,1,421,1059
Mar,1,02:03,True,8,2,7,5,1426,38355
Mar,1,02:04,True,7,3,1,1,441,1116
Mar,1,02:05,True,6,4,1,1,441,1489
Mar,1,02:06,True,3,4,4,3,1480,9092
Mar,1,02:08,True,3,7,1,1,437,1052
Mar,1,02:08,True,8,3,2,2,549,3802
Mar,1,02:09,True,2,2,3,2,1283,6417
Mar,1,02:11,True,8,3,3,20,0,0
Mar,1,02:12,True,7,10,1,1,452,913
Mar,1,02:13,True,5,0,1,1,435,960
Mar,1,02:13,True,2,2,1,1,415,1343
Mar,1,02:14,True,7,4,3,15,1142,36274
Mar,1,02:15,True,6,2,2,2,543,5434
Mar,1,02:16,True,8,2,5,5,727,7856
Mar,1,02:17,True,8,0,3,10,1233,17343
Mar,1,02:18,True,8,2,5,5,731,6308
Mar,1,02:19,True,5,3,2,2,570,3387
Mar,1,02:20,False,2,3,2,6,562,6772
Mar,1,02:21,True,1,2,2,2,605,3168
Mar,1,02:22,True,8,0,1,1,407,1023
Mar,1,02:23,True,6,3,1,1,389,994
Mar,1,02:23,False,2,15,2,30,464,23499
Mar,1,02:24,True,7,7,2,2,526,2556
Mar,1,02:25,True,6,0,2,2,549,3112
Mar,1,02:26,False,1,3,1,3,365,1571
Mar,1,02:27,False,1,2,1,2,385,2619
Mar,1,02:27,True,4,3,1,1,375,961
Mar,1,02:28,True,5,3,1,1,361,1113
Mar,1,02:29,True,4,0,5,5,580,6710
Mar,1,02:30,True,5,3,4,10,1201,23692
Mar,1,02:31,True,5,2,1,1,343,1241
Mar,1,02:32,True,5,0,2,2,546,4197
Mar,1,02:33,True,8,4,1,1,340,1397
Mar,1,02:34,False,5,2,5,10,550,12504
Mar,1,02:35,True,2,10,3,3,1020,6332
Mar,1,02:36,True,4,3,5,5,613,6964
Mar,1,02:37,True,4,3,2,2,544,2766
Mar,1,02:37,True,7,2,1,1,334,1330
Mar,1,02:38,True,8,7,2,2,507,7336
Mar,1,02:39,True,7,2,1,1,312,896
Mar,1,02:40,True,5,2,1,1,286,659
Mar,1,02:40,True,3,2,1,1,282,642
Mar,1,02:41,True,4,2,6,10,565,14534
Mar,1,02:42,True,2,20,7,5,993,32981
Mar,1,02:44,True,7,2,5,5,501,10491
Mar,1,02:45,True,8,0,5,5,504,11044
Mar,1,02:45,False,2,3,2,6,510,16132
Mar,1,02:46,True,6,0,2,2,508,5874
Mar,1,02:47,True,3,7,5,5,411,8972
Mar,1,02:48,True,6,2,5,5,308,3106
Mar,1,02:49,True,2,0,3,2,518,3667
Mar,1,02:50,True,4,0,2,2,270,4691
Mar,1,02:51,True,1,4,2,2,383,2106
Mar,1,02:51,True,6,2,1,1,271,8609
Mar,1,02:52,True,5,3,1,1,291,1398
Mar,1,02:53,True,8,2,7,5,798,16778
Mar,1,02:55,True,1,3,2,2,405,4409
Mar,1,02:56,True,3,5,2,2,451,7428
Mar,1,02:56,True,1,3,3,2,789,4531
Mar,1,02:58,True,7,3,5,5,474,8896
Mar,1,02:58,True,2,5,3,7,794,10884
Mar,1,03:00,True,2,2,3,12,789,17875
Mar,1,03:01,True,4,0,3,3,834,4405
Mar,1,03:02,True,4,2,1,1,337,1044
Mar,1,03:03,True,1,25,5,5,515,8666
Mar,1,03:04,True,8,0,6,10,652,18569
Mar,1,03:04,True,4,0,2,2,507,2775
Mar,1,03:05,True,3,0,1,1,315,791
Mar,1,03:06,True,4,3,1,1,309,826
Mar,1,03:07,False,8,2,8,40,1010,90126
Mar,1,03:09,True,6,4,2,2,441,2669
Mar,1,03:10,True,3,4,8,15,966,40501
Mar,1,03:12,False,5,3,5,15,595,13919
Mar,1,03:13,True,4,4,5,5,625,5772
Mar,1,03:14,True,6,3,1,1,375,1802
Mar,1,03:15,True,4,2,1,1,373,1576
Mar,1,03:15,True,4,4,1,1,348,1383
Mar,1,03:16,False,6,0,6,10,684,18994
Mar,1,03:17,True,6,4,4,2,1177,6215
Mar,1,03:19,True,3,0,2,2,539,5000
Mar,1,03:19,True,6,2,1,1,321,948
Mar,1,03:20,True,4,0,2,2,458,5232
Mar,1,03:21,True,6,7,2,2,469,5042
Mar,1,03:22,True,3,2,1,1,290,683
Mar,1,03:22,True,3,10,7,5,1039,35720
Mar,1,03:24,True,7,0,5,5,583,10028
Mar,1,03:25,True,7,7,1,1,316,609
Mar,1,03:26,True,8,2,1,1,320,827
Mar,1,03:26,True,4,5,2,2,451,3938
Mar,1,03:27,True,5,2,3,2,937,5515
Mar,1,03:28,True,3,3,5,5,524,5405
Mar,1,03:29,True,3,0,2,2,430,2409
Mar,1,03:30,True,1,2,2,2,416,5083
Mar,1,03:31,True,7,3,2,2,404,3318
Mar,1,03:31,True,5,5,1,1,255,1038
Mar,1,03:32,True,4,0,1,1,275,617
Mar,1,03:33,True,4,0,2,2,368,3622
Mar,1,03:34,True,5,0,6,10,525,9562
Mar,1,03:34,True,6,4,2,2,398,2627
Mar,1,03:35,True,3,0,8,15,866,29598
Mar,1,03:37,True,2,2,1,1,274,497
Mar,1,03:38,True,3,0,5,5,524,4438
Mar,1,03:38,False,1,5,1,5,264,1919
Mar,1,03:39,True,5,7,7,5,875,23909
Mar,1,03:41,True,7,3,2,2,470,3799
Mar,1,03:41,True,8,0,1,1,311,631
Mar,1,03:42,True,4,0,7,5,865,25931
Mar,1,03:44,False,3,0,3,15,858,19396
Mar,1,03:45,True,3,0,1,1,327,662
Mar,1,03:46,True,4,2,1,1,324,566
Mar,1,03:46,True,4,2,1,1,327,569
Mar,1,03:47,True,7,0,1,1,310,705
Mar,1,03:48,True,3,5,6,10,588,7376
Mar,1,03:49,False,1,3,1,3,296,1012
Mar,1,03:50,True,2,15,5,5,517,3428
Mar,1,03:50,True,5,2,1,1,305,545
Mar,1,03:51,True,5,25,2,2,426,3776
Mar,1,03:52,True,6,2,3,5,888,11915
Mar,1,03:53,True,4,3,2,2,451,3673
Mar,1,03:54,True,4,4,3,2,816,5786
Mar,1,03:55,False,5,0,5,5,514,3599
Mar,1,03:56,True,4,3,5,5,491,3747
Mar,1,03:57,True,1,2,5,5,477,4219
Mar,1,03:58,False,1,2,1,2,288,1552
Mar,1,03:58,True,8,0,3,3,721,6213
Mar,1,04:00,True,4,3,2,2,398,1850
Mar,1,04:00,True,2,2,7,5,811,25721
Mar,1,04:02,True,2,50,6,10,497,7282
Mar,1,04:03,True,7,0,2,2,492,2335
Mar,1,04:04,False,1,2,1,2,292,1158
Mar,1,04:05,True,4,3,5,5,527,4590
Mar,1,04:05,True,6,2,5,5,492,3856
Mar,1,04:06,True,8,2,2,2,486,2734
Mar,1,04:07,True,8,7,2,2,443,3695
Mar,1,04:08,True,4,3,1,1,279,755
Mar,1,04:08,True,4,3,1,1,290,1235
Mar,1,04:09,True,8,4,5,5,414,4194
Mar,1,04:10,True,7,0,3,15,757,13952
Mar,1,04:11,True,5,3,1,1,256,1239
Mar,1,04:12,True,2,2,3,9,723,7611
Mar,1,04:13,True,3,5,2,2,444,3578
Mar,1,04:14,True,3,20,1,1,259,1248
Mar,1,04:15,True,8,0,1,1,252,1263
Mar,1,04:16,True,5,2,2,2,353,2636
Mar,1,04:16,True,4,2,1,1,210,1081
Mar,1,04:17,True,6,2,5,5,396,3556
Mar,1,04:18,True,5,4,1,1,213,1043
Mar,1,04:19,True,8,0,1,1,223,1330
Mar,1,04:20,True,5,4,2,2,317,2144
Mar,1,04:20,False,1,2,1,2,199,1588
Mar,1,04:21,True,6,2,4,10,716,9526
Mar,1,04:23,True,1,0,4,35,695,29602
Mar,1,04:24,True,3,10,2,2,374,2574
Mar,1,04:25,False,4,2,4,40,741,39179
Mar,1,04:27,True,5,4,7,5,843,19917
Mar,1,04:29,False,2,2,2,4,448,6109
Mar,1,04:29,True,5,0,2,2,449,4372
Mar,1,04:30,True,8,0,6,10,578,13513
Mar,1,04:31,True,4,2,1,1,327,2533
Mar,1,04:32,True,4,4,1,1,320,1088
Mar,1,04:33,True,5,5,2,2,437,4828
Mar,1,04:34,True,3,2,1,1,310,554
Mar,1,04:34,True,8,3,1,1,305,1477
Mar,1,04:35,True,4,0,5,5,484,4274
Mar,1,04:36,False,1,2,1,2,264,1007
Mar,1,04:37,True,7,3,1,1,262,542
Mar,1,04:38,True,4,0,2,2,403,2710
Mar,1,04:38,False,5,5,5,25,403,17474
Mar,1,04:39,True,4,3,1,1,257,664
Mar,1,04:40,True,7,2,5,5,429,3254
Mar,1,04:41,True,6,4,5,5,435,3701
Mar,1,04:42,True,2,3,1,1,247,734
Mar,1,04:42,True,6,4,1,1,243,1118
Mar,1,04:43,False,1,10,1,10,243,11058
Mar,1,04:44,True,6,10,5,5,420,8069
Mar,1,04:45,True,1,3,7,5,820,19054
Mar,1,04:46,True,8,2,1,1,268,1710
Mar,1,04:47,True,3,2,2,2,432,6557
Mar,1,04:48,True,8,4,1,1,297,1899
Mar,1,04:49,True,6,2,5,5,449,3840
Mar,1,04:50,True,7,3,1,1,287,625
Mar,1,04:51,True,8,3,1,1,269,782
Mar,1,04:51,False,1,2,1,2,237,995
Mar,1,04:52,True,8,4,2,2,360,3298
Mar,1,04:53,True,4,2,7,5,741,16314
Mar,1,04:55,False,1,10,1,10,244,9130
Mar,1,04:55,True,5,4,1,1,299,1729
Mar,1,04:56,True,1,0,2,2,371,3356
Mar,1,04:57,True,6,0,2,2,379,2378
Mar,1,04:58,True,1,3,5,5,422,3516
Mar,1,04:59,True,5,0,2,2,362,3973
Mar,1,05:00,True,5,3,1,1,269,1061
Mar,1,05:00,True,5,3,1,1,280,653
Mar,1,05:01,True,8,0,1,1,257,997
Mar,1,05:02,True,2,5,1,1,238,732
Mar,1,05:03,False,1,2,1,2,260,795
Mar,1,05:04,True,2,3,1,1,254,517
Mar,1,05:04,True,3,10,6,10,397,13388
Mar,1,05:05,True,2,5,1,1,241,445
Mar,1,05:06,True,7,2,1,1,281,974
Mar,1,05:07,False,5,3,5,15,316,16287
Mar,1,05:07,True,3,2,2,2,358,6401
Mar,1,05:08,True,4,3,3,2,630,3287
Mar,1,05:09,True,7,10,6,10,375,9537
Mar,1,05:10,True,3,4,2,2,361,4256
Mar,1,05:11,True,7,2,1,1,264,912
Mar,1,05:12,True,2,3,1,1,256,726
Mar,1,05:13,True,4,2,2,2,366,7189
Mar,1,05:13,True,5,0,1,1,250,2182
Mar,1,05:14,True,1,0,2,2,336,8510
Mar,1,05:15,False,1,2,1,2,225,1173
Mar,1,05:16,True,8,2,1,1,225,753
Mar,1,05:16,False,2,2,2,4,308,3992
Mar,1,05:17,True,7,7,2,2,281,2136
Mar,1,05:18,True,4,0,1,1,220,749
Mar,1,05:19,True,8,2,3,3,538,2043
Mar,1,05:20,False,1,2,1,2,205,877
Mar,1,05:20,False,1,2,1,2,200,631
Mar,1,05:21,True,3,2,6,10,307,3749
Mar,1,05:22,True,6,4,2,2,296,2383
Mar,1,05:23,True,7,3,3,5,560,3027
Mar,1,05:24,True,3,20,2,2,321,2071
Mar,1,05:25,True,1,25,2,2,317,1682
Mar,1,05:25,True,5,3,6,10,368,4293
Mar,1,05:26,False,8,10,8,200,677,239586
Mar,1,05:29,True,5,0,4,10,622,8207
Mar,1,05:31,True,3,2,4,50,709,79971
Mar,1,05:32,True,2,3,1,1,336,2318
Mar,1,05:33,True,3,2,2,2,454,6244
Mar,1,05:34,True,8,2,2,2,458,4430
Mar,1,05:34,True,8,2,1,1,315,1193
Mar,1,05:35,True,8,3,2,2,417,3900
Mar,1,05:36,True,4,2,2,2,453,4568
Mar,1,05:37,True,4,0,1,1,311,2132
Mar,1,05:38,True,2,0,1,1,289,784
Mar,1,05:38,True,6,4,5,5,414,3965
Mar,1,05:39,True,3,2,2,2,416,2677
Mar,1,05:40,True,3,2,1,1,272,2131
Mar,1,05:41,True,7,5,2,2,347,2918
Mar,1,05:41,True,8,2,1,1,225,788
Mar,1,05:42,True,3,2,5,5,368,2963
Mar,1,05:43,True,5,0,3,2,686,2194
Mar,1,05:44,True,3,4,5,5,414,2876
Mar,1,05:45,True,5,3,1,1,294,636
Mar,1,05:46,True,2,2,3,20,679,12420
Mar,1,05:47,True,5,0,2,2,438,3653
Mar,1,05:48,True,1,20,6,10,482,9009
Mar,1,05:48,True,4,2,6,10,495,9032
Mar,1,05:49,False,2,2,2,4,472,4641
Mar,1,05:50,True,4,2,3,8,780,9825
Mar,1,05:51,True,2,10,3,10,769,11080
Mar,1,05:52,True,5,3,2,2,534,4328
Mar,1,05:53,False,2,2,2,4,433,4344
Mar,1,05:54,True,4,2,3,4,703,5677
Mar,1,05:55,False,1,4,1,4,334,3313
Mar,1,05:56,True,4,5,3,9,739,12159
Mar,1,05:57,True,8,3,2,2,515,5737
Mar,1,05:58,False,1,10,1,10,330,5025
Mar,1,05:59,True,2,3,6,10,555,6311
Mar,1,05:59,True,7,3,2,2,505,2385
Mar,1,06:00,True,1,0,2,2,499,2445
Mar,1,06:01,True,8,3,1,1,327,1285
Mar,1,06:02,False,2,3,2,6,454,8731
Mar,1,06:03,True,8,2,5,5,473,3120
Mar,1,06:04,True,2,3,1,1,333,685
Mar,1,06:04,True,4,2,6,10,495,8465
Mar,1,06:05,True,4,2,2,2,489,3588
Mar,1,06:06,True,8,0,5,5,469,5043
Mar,1,06:07,True,8,4,1,1,317,563
Mar,1,06:07,True,3,5,1,1,300,1652
Mar,1,06:08,True,8,0,1,1,286,614
Mar,1,06:09,True,7,0,3,3,680,4079
Mar,1,06:10,True,8,5,4,10,739,15838
Mar,1,06:12,True,3,5,1,1,280,712
Mar,1,06:13,True,8,5,2,2,389,1820
Mar,1,06:14,True,2,7,1,1,277,424
Mar,1,06:14,True,8,2,5,5,401,2594
Mar,1,06:15,True,5,3,1,1,301,412
Mar,1,06:16,True,2,0,1,1,275,928
Mar,1,06:17,True,8,0,1,1,274,513
Mar,1,06:18,True,8,4,6,10,386,6405
Mar,1,06:18,True,7,3,1,1,258,660
Mar,1,06:19,True,3,4,2,2,369,2463
Mar,1,06:20,False,8,7,8,350,751,236665
Mar,1,06:22,True,4,3,1,1,279,438
Mar,1,06:23,True,4,7,3,15,665,18056
Mar,1,06:24,True,4,0,2,2,437,1627
Mar,1,06:25,True,8,4,1,1,338,609
Mar,1,06:26,True,5,3,1,1,340,635
Mar,1,06:27,True,5,2,2,2,437,1867
Mar,1,06:28,True,5,0,2,2,443,1545
Mar,1,06:28,True,2,2,7,5,827,25974
Mar,1,06:30,True,6,4,1,1,342,833
Mar,1,06:31,True,4,3,1,1,380,736
Mar,1,06:32,True,3,3,2,2,470,2322
Mar,1,06:33,False,1,20,1,20,355,11543
Mar,1,06:33,True,2,0,5,5,499,4450
Mar,1,06:34,True,8,4,1,1,383,1027
Mar,1,06:35,True,6,5,1,1,375,819
Mar,1,06:36,True,5,0,6,10,561,8106
Mar,1,06:37,True,7,10,1,1,385,1663
Mar,1,06:37,False,5,10,5,50,511,47382
Mar,1,06:38,True,5,3,1,1,402,663
Mar,1,06:39,True,8,0,1,1,413,763
Mar,1,06:39,False,1,5,1,5,387,5128
Mar,1,06:40,True,2,4,5,5,555,4893
Mar,1,06:41,True,3,2,8,20,957,20963
Mar,1,06:43,True,3,5,7,5,948,16939
Mar,1,06:45,True,4,0,8,10,914,19925
Mar,1,06:46,True,1,0,2,2,632,5110
Mar,1,06:47,True,4,4,1,1,493,1072
Mar,1,06:48,True,4,3,1,1,507,1194
Mar,1,06:49,True,3,2,5,5,621,2656
Mar,1,06:49,True,4,25,6,10,713,9324
Mar,1,06:50,False,2,0,2,2,609,2667
Mar,1,06:51,True,7,3,1,1,475,899
Mar,1,06:52,False,5,2,5,10,622,5486
Mar,1,06:53,True,5,3,1,1,461,774
Mar,1,06:53,False,6,3,6,30,681,23750
Mar,1,06:54,True,4,0,2,2,616,2770
Mar,1,06:55,True,5,0,3,2,1026,2239
Mar,1,06:56,True,3,3,5,5,729,3398
Mar,1,06:57,True,6,2,2,2,645,3197
Mar,1,06:58,True,7,50,1,1,505,1032
Mar,1,06:58,False,2,5,2,10,612,14648
Mar,1,06:59,True,1,0,6,10,757,9672
Mar,1,07:00,False,1,2,1,2,515,1445
Mar,1,07:01,True,3,5,1,1,489,940
Mar,1,07:02,False,2,4,2,8,625,8348
Mar,1,07:02,True,5,3,8,20,1079,24407
Mar,1,07:05,True,8,4,1,1,510,864
Mar,1,07:05,True,3,2,1,1,521,824
Mar,1,07:06,True,6,0,1,1,509,1039
Mar,1,07:07,True,8,3,5,5,705,4658
Mar,1,07:08,True,2,0,1,1,470,671
Mar,1,07:08,True,8,4,3,3,1004,3241
Mar,1,07:09,True,2,2,1,1,441,866
Mar,1,07:10,True,3,7,1,1,443,934
Mar,1,07:11,True,8,2,1,1,430,845
Mar,1,07:12,True,6,2,5,5,569,2016
Mar,1,07:13,True,6,3,7,5,998,19112
Mar,1,07:14,True,7,2,8,20,981,21486
Mar,1,07:17,True,7,3,5,5,671,4082
Mar,1,07:18,False,1,3,1,3,492,1860
Mar,1,07:18,True,8,3,1,1,503,868
Mar,1,07:19,True,6,4,1,1,505,705
Mar,1,07:20,True,3,15,5,5,710,7052
Mar,1,07:21,True,4,0,6,10,824,12836
Mar,1,07:22,False,5,4,5,20,761,11450
Mar,1,07:22,True,7,5,1,1,560,916
Mar,1,07:23,True,3,4,7,5,1250,23703
Mar,1,07:25,True,5,0,1,1,571,726
Mar,1,07:26,True,3,0,6,10,850,10581
Mar,1,07:26,True,4,0,2,2,777,5610
Mar,1,07:27,True,4,0,5,5,882,9190
Mar,1,07:28,True,7,2,5,5,859,9097
Mar,1,07:29,True,8,0,5,5,881,9479
Mar,1,07:30,False,1,2,1,2,590,1339
Mar,1,07:30,True,1,0,4,15,1357,19968
Mar,1,07:32,True,4,4,1,1,587,788
Mar,1,07:33,True,1,3,6,10,925,9303
Mar,1,07:34,True,7,0,3,20,1234,23624
Mar,1,07:35,True,4,3,1,1,606,724
Mar,1,07:36,True,1,2,2,2,783,6123
Mar,1,07:37,True,3,7,2,2,812,6357
Mar,1,07:37,True,8,20,7,5,1389,29108
Mar,1,07:39,True,7,4,1,1,602,761
Mar,1,07:40,True,8,2,1,1,640,882
Mar,1,07:41,True,4,2,1,1,604,946
Mar,1,07:42,True,6,4,3,3,1264,7129
Mar,1,07:43,True,5,0,2,2,701,17426
Mar,1,07:44,True,4,2,1,1,522,3433
Mar,1,07:45,True,1,0,3,3,1121,7719
Mar,1,07:46,False,5,2,5,10,757,8222
Mar,1,07:47,True,1,0,3,9,1127,12160
Mar,1,07:48,True,8,0,5,5,830,3725
Mar,1,07:49,True,7,2,5,5,845,3387
Mar,1,07:50,True,8,2,1,1,560,1096
Mar,1,07:51,True,6,3,4,2,1411,4832
Mar,1,07:52,True,4,3,7,5,1367,30090
Mar,1,07:54,True,4,0,2,2,721,1892
Mar,1,07:55,True,2,0,5,5,839,4030
Mar,1,07:55,True,3,3,2,2,706,1914
Mar,1,07:56,True,5,0,4,7,1342,12599
Mar,1,07:58,True,6,2,5,5,840,4298
Mar,1,07:59,True,1,2,2,2,760,3278
Mar,1,08:00,True,2,0,1,1,522,4357
Mar,1,08:00,True,6,3,5,5,740,4338
Mar,1,08:01,True,8,0,2,2,678,2512
Mar,1,08:02,True,8,5,2,2,648,2158
Mar,1,08:03,True,8,3,7,5,1302,36732
Mar,1,08:04,True,8,2,1,1,485,1012
Mar,1,08:05,False,2,10,2,20,650,34677
Mar,1,08:06,True,4,3,7,5,1244,29794
Mar,1,08:08,True,6,3,3,3,1219,8508
Mar,1,08:09,True,4,2,7,5,1341,55371
Mar,1,08:11,True,4,5,1,1,612,1650
Mar,1,08:11,True,4,2,2,2,798,13462
Mar,1,08:12,True,1,2,2,2,788,22827
Mar,1,08:13,True,2,7,1,1,565,1215
Mar,1,08:14,True,1,2,7,5,1429,39652
Mar,1,08:16,True,4,15,1,1,571,999
Mar,1,08:16,True,2,15,1,1,587,938
Mar,1,08:17,False,7,0,7,5,1506,32086
Mar,1,08:19,True,6,2,5,5,916,21466
Mar,1,08:20,True,8,0,5,5,983,19637
Mar,1,08:20,True,4,5,2,2,936,15001
Mar,1,08:21,True,2,0,6,10,1116,28500
Mar,1,08:22,True,6,4,2,2,939,13319
Mar,1,08:23,True,6,0,1,1,663,1322
Mar,1,08:24,True,4,0,1,1,625,1524
Mar,1,08:25,True,4,2,2,2,772,13006
Mar,1,08:25,True,5,0,1,1,494,1147
Mar,1,08:26,True,8,7,1,1,500,1403
Mar,1,08:27,True,5,5,6,10,806,6552
Mar,1,08:28,True,3,5,1,1,484,990
Mar,1,08:29,True,5,2,2,2,681,3459
Mar,1,08:29,True,4,2,2,2,640,3015
Mar,1,08:30,True,6,0,2,2,610,3415
Mar,1,08:31,True,6,0,8,25,1459,60100
Mar,1,08:33,True,2,2,1,1,524,1413
Mar,1,08:34,True,8,10,1,1,567,1721
Mar,1,08:35,True,8,3,2,2,712,4113
Mar,1,08:36,True,8,4,1,1,504,1127
Mar,1,08:37,True,8,2,4,15,1437,20395
Mar,1,08:38,True,2,7,4,20,1437,28153
Mar,1,08:40,True,6,0,5,5,943,3399
